fall;geolocation;id;mass;name;nametype;recclass;reclat;reclong;year
Fell;12.73333,15.05;7656;3950.0;Djermaia;Valid;H;12.73333;15.05;1961
Fell;36.95,9.55;7657;10000.0;Djoumine;Valid;H5-6;36.95;9.55;1999
Fell;23.5,90.33333;7658;3840.0;Dokachi;Valid;H5;23.5;90.33333;1903
Fell;50.75,25.3;7659;1600.0;Dolgovoli;Valid;L6;50.75;25.3;1864
Fell;40.0,29.0;7661;438.0;Domanitch;Valid;L5;40.0;29.0;1907
Fell;45.5,119.03333;7706;128800.0;Dong Ujimqin Qi;Valid;Mesosiderite;45.5;119.03333;1995
Fell;21.86667,82.45;7707;230.0;Donga Kohrod;Valid;H6;21.86667;82.45;1899
Fell;32.91667,120.78333;7708;5500.0;Dongtai;Valid;LL6;32.91667;120.78333;1970
Fell;51.2,112.3;7718;3891.0;Doroninsk;Valid;H5-7;51.2;112.3;1805
Fell;13.05,3.16667;7722;1250.0;Dosso;Valid;L6;13.05;3.16667;1962
Fell;32.33333,-6.3;7723;1161.0;Douar Mghila;Valid;LL6;32.33333;-6.3;1932
Fell;-13.66667,33.91667;7725;642.0;Dowa;Valid;Stone-uncl;-13.66667;33.91667;1976
Fell;36.4,-86.5;7728;5000.0;Drake Creek;Valid;L6;36.4;-86.5;1827
Fell;42.52,-82.26;7731;47700.0;Dresden (Ontario);Valid;H6;42.52;-82.26;1939
Fell;42.45833,18.44167;7736;1900.0;Dubrovnik;Valid;L3-6;42.45833;18.44167;1951
Fell;-31.66667,152.83333;7743;30.0;Dunbogan;Valid;L6;-31.66667;152.83333;1999
Fell;52.55,-8.03333;7745;2270.0;Dundrum;Valid;H5;52.55;-8.03333;1865
Fell;43.33333,128.25;7749;;Dunhua;Valid;Stone-uncl;43.33333;128.25;1976
Fell;30.3,76.63333;7750;13200.0;Durala;Valid;L6;30.3;76.63333;1815
Fell;-4.0,39.5;7752;577.0;Duruma;Valid;L6;-4.0;39.5;1853
Fell;33.43333,127.26667;7754;2117.0;Duwun;Valid;L6;33.43333;127.26667;1943
Fell;-27.2,31.31667;7755;3230.0;Dwaleni;Valid;H4-6;-27.2;31.31667;1970
Fell;26.25,82.0;7757;300.0;Dyalpur;Valid;Ureilite;26.25;82.0;1872
Fell;-3.0,151.0;7758;188.0;Dyarrl Island;Valid;Mesosiderite-A1;-3.0;151.0;1933
Fell;40.78167,-96.47167;7760;10000.0;Eagle;Valid;EL6;40.78167;-96.47167;1947
Fell;-17.3,15.83333;7774;2400.0;Ehole;Valid;H5;-17.3;15.83333;1961
Fell;48.9,11.21667;7775;3000.0;Eichstädt;Valid;H5;48.9;11.21667;1785
Fell;56.03333,13.0;7776;3336.0;Ekeby;Valid;H4;56.03333;13.0;1939
Fell;28.26667,78.78333;7777;840.0;Ekh Khera;Valid;H6;28.26667;78.78333;1916
Fell;34.41667,3.25;7807;10000.0;El Idrissia;Valid;L6;34.41667;3.25;1989
Fell;25.37,-97.37;45977;17226.0;El Paso de Aguila;Valid;H5;25.37;-97.37;1977
Fell;19.96722,-103.05167;7819;5000.0;El Tigre;Valid;L6;19.96722;-103.05167;1993
Fell;39.24667,-104.58817;7822;680.5;Elbert;Valid;LL6;39.24667;-104.58817;1998
Fell;50.18333,12.73333;7823;107000.0;Elbogen;Valid;Iron, IID;50.18333;12.73333;1400
Fell;47.83333,37.66667;7824;54640.0;Elenovka;Valid;L5;47.83333;37.66667;1951
Fell;51.75,4.0;10019;1470.0;Ellemeet;Valid;Diogenite;51.75;4.0;1925
Fell;-29.46667,151.61667;10033;127.0;Emmaville;Valid;Eucrite-mmict;-29.46667;151.61667;1900
Fell;30.3,109.5;10038;8000.0;Enshi;Valid;H5;30.3;109.5;1974
Fell;47.86667,7.35;10039;127000.0;Ensisheim;Valid;LL6;47.86667;7.35;1492
Fell;48.18333,6.46667;10041;277.0;Épinal;Valid;H5;48.18333;6.46667;1822
